delta_length_mm,eta_output_min,eta_output_mean,eta_output_max
-2.0,0.36825344861615245,0.7008208099351516,0.9502271280913304
-1.75,0.36814308338285356,0.7066588583180103,0.9614278985153439
-1.5,0.3680401594057959,0.711772202073016,0.9712206332385476
-1.25,0.36794709849792806,0.7161373658374389,0.9795676508461484
-1.0,0.3678659328080226,0.71973388875219,0.9865304972669744
-0.75,0.36779831376298594,0.7225446113737495,0.9923916959608322
-0.5,0.36774551946330974,0.7245559220462574,0.9965956599227931
-0.25,0.3677084604930281,0.7257579561196671,0.9991209830877915
0.0,0.3676876841158422,0.7261447425434301,0.9999547837909738
0.25,0.3676833768380719,0.7257142937408176,0.9990927857238362
0.5,0.36769536532722147,0.7244686362223087,0.9965393439876488
0.75,0.3677231156824815,0.7224137810617837,0.9923074166750034
1.0,0.367765731060885,0.7195596350637065,0.9864184816732808
1.25,0.3678219476703512,0.7159198551175358,0.9793260037940708
1.5,0.36789012914891656,0.711511649794198,0.9709298379885225
1.75,0.36796825935837135,0.7063555336224914,0.9610875650436687
2.0,0.3680539336307072,0.700475040635812,0.9498368471929424
