first_stage,second_stage,length_mm,eta_min,eta_mean,eta_max,active_return_loss_min_dB,matched_input_isolation_min_dB
v6_base,v6_base,5.0,0.3651749839506604,0.7263599431617618,0.99995182352366,1.964335682015246,7.387525452548317
v6_base,center,5.0,0.3681354411489991,0.7282191721536523,0.9999948245526614,1.9878325219616122,7.43053180513746
v6_base,lower1p8,4.0,0.39057070789618736,0.7376748160140203,0.9997171375392147,2.1340175650993913,7.564714880805186
v6_base,split9p2,4.5,0.3813046137853598,0.7283781611777113,0.9991944914863637,2.0781626416590067,7.660764349046172
v6_base,l1p8_s8p2,3.5,0.4108293971381385,0.7453287557011563,0.999775600119138,2.2875692718901224,7.95421868970063
v6_base,l1p6_s8p2,2.5,0.4213918157060519,0.752151035369073,0.9997286217820434,2.3584896983023858,8.043720380920977
v6_base,l1p6_s7p2,2.5,0.43042679897030894,0.7549649661751643,0.9998635201111076,2.4349755451038297,8.140820178372783
v6_base,l1p4_s7p2,1.5,0.4371186062516324,0.7550751348084105,0.999649414424725,2.4836121175287125,8.071615285773447
v6_base,l1p6_s6p2,2.0,0.4368272765711138,0.756973338584679,0.9999372204733145,2.48439487632824,8.237520715006818
v6_base,l1p4_s6p2,1.5,0.4407311604000331,0.7575330359136354,0.9997477918360077,2.505340045253969,7.953297553118077
center,v6_base,5.0,0.3682325684088815,0.7286599962045364,0.9998559018812476,1.988298696388284,7.382508150061651
center,center,5.0,0.37121137083128947,0.7305446763789457,0.9999917249967212,2.012075824455696,7.447724683052219
center,lower1p8,4.0,0.39192077134316766,0.7399898970055827,0.9997936359465215,2.1538003478152223,7.519279205608163
center,split9p2,4.5,0.38447110770350684,0.7308467788241756,0.9993529543853074,2.1035281057114856,7.688694986098702
center,l1p8_s8p2,3.5,0.4141276180582801,0.7478443869726206,0.9998927753193971,2.3153121696488315,7.982917868832794
center,l1p6_s8p2,3.0,0.42428171301385587,0.7552295197111543,0.9997900691219181,2.3815233596059384,8.075112228965642
center,l1p6_s7p2,2.5,0.43386251167193624,0.7574113008016459,0.9999252351797014,2.4646171004447783,8.17084421194884
center,l1p4_s7p2,2.0,0.4390498357549684,0.7588289740645342,0.9998202290954719,2.4962680866936666,8.041479913620327
center,l1p6_s6p2,2.0,0.4402767115030924,0.7593794115364852,0.9999036158359006,2.51454075654315,8.168259621649414
center,l1p4_s6p2,1.5,0.44423774636383906,0.7598767546007109,0.9996579917589946,2.5359361324679766,7.868214538575935
lower1p8,v6_base,5.0,0.3875325720633337,0.7373873511591854,0.9995329050630081,2.108098180139884,7.132898448915116
lower1p8,center,5.0,0.390622351898467,0.7393551804034202,0.9996696122879714,2.1334657720466983,7.174653393611675
lower1p8,lower1p8,4.0,0.4135213095015788,0.7493044296347584,1.0000381830240161,2.287857928158334,7.328795428361597
lower1p8,split9p2,4.5,0.403906120502722,0.7401896951417491,0.999714224549735,2.2276095977307455,7.398867205008695
lower1p8,l1p8_s8p2,3.5,0.4343420363730062,0.75779442547338,0.9995703502095865,2.452072891570852,7.686667223886725
lower1p8,l1p6_s8p2,2.5,0.4489447565877283,0.7647291923095487,0.9995892048580423,2.554721327939583,7.773040521756189
lower1p8,l1p6_s7p2,2.5,0.45425721875558367,0.7677008036341384,0.9999213434642306,2.608001371109049,7.870277405698123
lower1p8,l1p4_s7p2,1.5,0.4632230724097265,0.7678897790056443,1.0000541686830147,2.66996725663851,7.915727678779218
lower1p8,l1p6_s6p2,2.0,0.4607533680652822,0.7697799418236532,0.9997038484507857,2.6599706579582643,7.967142121212402
lower1p8,l1p4_s6p2,1.5,0.46455854528083007,0.7704037953731557,0.9997067399468682,2.680745735931157,7.8163065755961245
split9p2,v6_base,5.0,0.38105793239688396,0.7367535861817767,0.9998012847966258,2.0771062242124207,6.413253959533397
split9p2,center,5.0,0.3841120993937006,0.7387976468012931,0.9999147357801015,2.101976576487437,6.4671122966764045
split9p2,lower1p8,4.0,0.407053882452236,0.7474160378711443,0.9999390812906672,2.2552342791610793,6.443007729778301
split9p2,split9p2,4.5,0.3975493066794361,0.7406336068164722,0.9995182502022617,2.196098919733969,7.134701654687504
split9p2,l1p8_s8p2,3.5,0.42767434935983156,0.757854264945532,0.9996644330961266,2.4163009493453127,7.147612797790316
split9p2,l1p6_s8p2,3.0,0.43802943319198206,0.7639517809903995,0.9995521904528766,2.4853579795564213,6.895830886905562
split9p2,l1p6_s7p2,2.5,0.4477182222024859,0.7653820708703898,0.9992415146480808,2.5714396343969392,6.856821522947336
split9p2,l1p4_s7p2,2.0,0.4528267579326286,0.765561385830352,0.9982418351316565,2.6025302466644447,6.668123840597923
split9p2,l1p6_s6p2,2.0,0.45415482549964664,0.7662517899751368,0.9983503701650975,2.6225069050336884,6.765887916014607
split9p2,l1p4_s6p2,1.5,0.45823863495990214,0.7649147616830632,0.9976863618794216,2.6450078062379583,6.436923733181068
l1p8_s8p2,v6_base,5.0,0.41153882918957707,0.748349526556542,0.9999229644396102,2.294390822323384,6.565267957008107
l1p8_s8p2,center,5.0,0.4147747980300574,0.7504970502472712,0.9997683013130301,2.3219155727927574,6.61855164319714
l1p8_s8p2,lower1p8,4.0,0.4345998561573491,0.7600372198027657,0.9995424267981454,2.464175496526329,6.647390879579046
l1p8_s8p2,split9p2,4.5,0.42861581187009135,0.7528695835877321,0.999456740857191,2.4242602887937412,7.116940252929043
l1p8_s8p2,l1p8_s8p2,3.5,0.46023900264613027,0.7708869229670612,0.9999693425708657,2.6689355279557296,7.3411170200392615
l1p8_s8p2,l1p6_s8p2,3.0,0.4707761766516512,0.7775997876649626,0.9998822172976191,2.743498591015828,7.135342473696474
l1p8_s8p2,l1p6_s7p2,2.5,0.4802266308494701,0.7794193655051387,0.9997999228706399,2.832981764785007,7.138260323873551
l1p8_s8p2,l1p4_s7p2,2.0,0.48566226448599614,0.7801696834870698,0.9997313716145563,2.86858958722722,7.001989815672367
l1p8_s8p2,l1p6_s6p2,2.0,0.48703155915186863,0.7807408820879213,0.9997487177559099,2.891048081109107,7.101395632243118
l1p8_s8p2,l1p4_s6p2,1.5,0.4904780641965719,0.7801078367899772,0.9997607879164211,2.909545447512391,6.834120501638239
l1p6_s8p2,v6_base,5.0,0.42324964994513087,0.752352468591156,0.9996758454102945,2.3602087555206115,6.680090526102262
l1p6_s8p2,center,5.0,0.42655308465089875,0.7545044264318379,0.9998414752432608,2.388862108721087,6.719864601368926
l1p6_s8p2,lower1p8,4.5,0.4458540268225289,0.7657143915068,0.9996559152363458,2.524827720792537,6.868772088314959
l1p6_s8p2,split9p2,4.5,0.44056797430605593,0.7566712367008747,0.999947674608986,2.4946402115587674,6.931561166708686
l1p6_s8p2,l1p8_s8p2,3.5,0.47193871313979685,0.7751196312913206,0.9998454295422016,2.7421608252562923,7.20466653657995
l1p6_s8p2,l1p6_s8p2,3.0,0.48262089609845493,0.7824942214590991,0.9998329663535414,2.8192166009892294,7.287087665457111
l1p6_s8p2,l1p6_s7p2,2.5,0.492176433313684,0.7846909894868541,0.9999251129469259,2.912274434610193,7.376728981247043
l1p6_s8p2,l1p4_s7p2,1.5,0.4973333919400076,0.784204966134717,0.9996393490975551,2.9603034887168618,7.32100036786508
l1p6_s8p2,l1p6_s6p2,2.0,0.49865542001549074,0.7864886080622873,0.9999617285675517,2.967966899477447,7.461172988351896
l1p6_s8p2,l1p4_s6p2,1.5,0.5021636454977164,0.7866035344588531,0.9996988976944319,2.987742837539586,7.233753247509807
l1p6_s7p2,v6_base,5.0,0.43082309206481945,0.7540218051195217,0.9998241644845551,2.4332067642124517,6.635273258949374
l1p6_s7p2,center,5.0,0.43416542341873376,0.7561908480985251,0.9999398762872087,2.4626387335563806,6.674882265257604
l1p6_s7p2,lower1p8,4.5,0.45363965595233136,0.7675692470085576,0.9997281254168049,2.601924415462556,6.822418572083261
l1p6_s7p2,split9p2,4.5,0.44797799986458897,0.7584851144601087,0.9999848051500576,2.5682356793415577,6.8848532862598795
l1p6_s7p2,l1p8_s8p2,3.5,0.4797161539544147,0.7771383728337817,0.9999088533552729,2.822852913428221,7.159281761681003
l1p6_s7p2,l1p6_s8p2,3.0,0.49049095244421964,0.7846054297278389,0.9998294435962201,2.9018822460990883,7.239935786749606
l1p6_s7p2,l1p6_s7p2,2.5,0.49983841043605304,0.7868596326377981,0.9999116715673024,2.9946468545627476,7.3314043229567725
l1p6_s7p2,l1p4_s7p2,1.5,0.5048805848588169,0.7864482445230483,0.999756706141004,3.04124350403233,7.36285387458778
l1p6_s7p2,l1p6_s6p2,2.0,0.5064562888615954,0.7887063442077245,1.0000091718550372,3.0526652004170254,7.421758544352048
l1p6_s7p2,l1p4_s6p2,1.5,0.5097063265014569,0.7888747100497925,0.9997842794626731,3.0703962656092196,7.286792806366504
l1p4_s7p2,v6_base,5.0,0.43561178539115414,0.7545737061376234,0.999805235236119,2.4509780763283144,6.427283028042858
l1p4_s7p2,center,5.0,0.4389870934607548,0.75674416918172,0.9997618748280986,2.4807701153148884,6.465678261875656
l1p4_s7p2,lower1p8,4.0,0.46223244172238803,0.7674441089469954,0.9997381326847005,2.651025624692923,6.604489001374448
l1p4_s7p2,split9p2,4.5,0.452857200444778,0.7590277285518457,0.9999517099568949,2.5878778387134185,6.667964116548253
l1p4_s7p2,l1p8_s8p2,3.5,0.48488152562828024,0.7779226762353888,0.9996998949486973,2.8473635303023164,6.93576295124597
l1p4_s7p2,l1p6_s8p2,2.5,0.4983102032593692,0.7847157182459279,0.9997781550719875,2.9461750478703745,7.010546556248779
l1p4_s7p2,l1p6_s7p2,2.5,0.5045635050440883,0.7880620588433433,0.9995973900383219,3.0161523925191362,7.103046611990104
l1p4_s7p2,l1p4_s7p2,1.5,0.51261782201231,0.7880359434514278,0.9999380045964058,3.075921882492399,7.143021796333516
l1p4_s7p2,l1p6_s6p2,2.0,0.5113344560760716,0.7900918099185281,0.9998963027990307,3.076439697214728,7.188861291479572
l1p4_s7p2,l1p4_s6p2,1.5,0.5140619122465029,0.7905441551724129,0.9998403829653785,3.0891509370503227,7.171235849861207
l1p6_s6p2,v6_base,5.0,0.4368803843686538,0.7555815284539307,0.9997907015754409,2.484927657569856,6.509538046650829
l1p6_s6p2,center,5.0,0.43872458301413597,0.7577629057217972,0.9998985966323124,2.4997287379111124,6.5484736247439095
l1p6_s6p2,lower1p8,4.5,0.45971143455428737,0.7692953034710993,0.9997462246456462,2.6553852076693496,6.692788467365753
l1p6_s6p2,split9p2,5.0,0.4501053135364961,0.7599569828824781,0.9999675352848838,2.5905045301418292,6.753997643301765
l1p6_s6p2,l1p8_s8p2,3.5,0.4841233054429765,0.778893992891474,0.9998942895034322,2.8620287573768355,7.024256754147665
l1p6_s6p2,l1p6_s8p2,3.0,0.4970798491580464,0.7865323403784394,0.9998103283575811,2.9631283230047503,7.103794789546231
l1p6_s6p2,l1p6_s7p2,2.5,0.5062167445309209,0.7888641682021003,0.9998814829199842,3.055101969874322,7.194088580686044
l1p6_s6p2,l1p4_s7p2,2.0,0.5114302089696807,0.7904116001260222,0.9999570687969722,3.089611774192919,7.240793386121616
l1p6_s6p2,l1p6_s6p2,2.0,0.5099040550484223,0.7908123610974591,0.9999957594664037,3.089243113277816,7.2845605153039505
l1p6_s6p2,l1p4_s6p2,1.5,0.5148681257041126,0.791150379439064,0.9999113755583167,3.12584659282943,7.265537590115322
l1p4_s6p2,v6_base,5.0,0.4387116476834911,0.7565478255130309,0.9990419337356549,2.4828066334308687,6.39474060300076
l1p4_s6p2,center,5.0,0.44210932023065347,0.7587286172612966,0.9992697596878225,2.512936329322686,6.433087154899058
l1p4_s6p2,lower1p8,4.5,0.4615847983605668,0.7704111694833133,0.9996961152737296,2.6539999097687916,6.575081124137933
l1p4_s6p2,split9p2,4.5,0.45437346223533964,0.7609353221729981,0.9996393051689896,2.6105138781988386,6.616798942054763
